transaction_id,transaction_date,transaction_type,quantity_grams,price_eur,counterparty
GT-1001,2026-01-08,PURCHASE,125.50,82.40,Aurum Handels GmbH
GT-1002,2026-01-15,SALE,40.00,84.10,Metallwerk Nord AG
GT-1003,2026-02-02,PURCHASE,210.75,86.20,Refinery Partners Ltd.
GT-1004,2026-02-18,SALE,75.25,88.35,Finanzhaus West
GT-1005,2026-03-04,PURCHASE,95.00,89.90,Aurum Handels GmbH
GT-1006,2026-03-19,SALE,22.50,91.15,Metallwerk Nord AG
GT-1007,2026-04-07,PURCHASE,180.00,92.75,Refinery Partners Ltd.
GT-1008,2026-04-21,SALE,60.00,94.30,Finanzhaus West
GT-1009,2026-05-03,PURCHASE,135.80,96.10,Aurum Handels GmbH
GT-1010,2026-05-17,SALE,48.40,97.85,Metallwerk Nord AG
GT-1011,2026-06-09,PURCHASE,260.00,99.20,Refinery Partners Ltd.
GT-1012,2026-06-27,SALE,115.00,101.45,Finanzhaus West
